zone_label,n,mean,sd,se,min,max
Entrance,5,5.7122172567091285,0.11389020217484122,0.05093324680682787,5.562750257318029,5.825936128002784
Transition,5,5.748210039116392,0.33406008414947336,0.1493962113455045,5.217483944213906,6.059059272365969
Dark,5,4.9514297326399355,0.38084987746255206,0.1703212430457463,4.75800467566072,5.630068397532964
